Station ID, Station Name, First Year, Last Year, Year Range, % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr) , MSL Trend (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
010-001,"Reykjavik, Iceland",1956,2016,61,0.9807,2.25,0.42,0.74,0.14,64.15,-21.9333
015-011,"Torshavn, Denmark",1957,2006,50,0.8378,1.8,0.4,0.59,0.13,62.0167,-6.7667
025-001,"Barentsburg, Norway",1948,2016,69,0.9392,-2.71,0.47,-0.89,0.16,78.0667,14.25
025-021,"Ny-Alesund, Norway",1976,2016,41,0.8841,-4.45,0.73,-1.46,0.24,78.9285,11.938
030-003,"Russkaya Gavan II, Russia",1953,1993,41,0.9765,-0.54,1.07,-0.18,0.35,76.2,62.5833
030-018,"Murmansk, Russia",1952,2016,65,0.9782,2.74,0.77,0.9,0.25,68.9667,33.05
030-345,"Dikson, Russia",1950,2012,63,0.7997,2.55,1.11,0.84,0.36,73.5,80.4
030-447,"Tiksi, Russia",1949,2010,62,1.0013,1.53,0.7,0.5,0.23,71.5833,128.9167
030-725,"Providenia, Russia",1951,1983,33,0.9722,3.3,1.29,1.08,0.42,64.4167,-173.2333
040-001,"Vardo, Norway",1947,2016,70,0.6931,-0.26,0.44,-0.09,0.14,70.3333,31.1
040-015,"Honningsvag, Norway",1970,2016,47,0.9606,1.33,0.77,0.44,0.25,70.9833,25.9833
040-041,"Andenes, Norway",1938,2016,79,0.6357,-0.88,0.43,-0.29,0.14,69.3167,16.15
040-081,"Narvik, Norway",1928,2016,89,0.8912,-2.1,0.43,-0.69,0.14,68.4333,17.4167
040-136,"Rorvik, Norway",1969,2016,48,0.9929,-0.93,0.73,-0.3,0.24,64.8667,11.25
040-151,"Heimsjo, Norway",1928,2016,89,0.9644,-1.38,0.28,-0.45,0.09,63.4333,9.1167
040-211,"Maloy, Norway",1943,2016,74,0.9432,0.68,0.35,0.22,0.11,61.9333,5.1167
040-221,"Bergen, Norway",1915,2016,102,0.9248,-0.03,0.2,-0.01,0.07,60.4,5.3
040-261,"Stavanger, Norway",1919,2016,98,0.9089,0.34,0.19,0.11,0.06,58.9667,5.7333
040-301,"Tregde, Norway",1927,2016,90,0.9766,0.25,0.18,0.08,0.06,58.0,7.5667
040-321,"Oslo, Norway",1885,2016,132,0.7863,-3.13,0.28,-1.03,0.09,59.9,10.75
050-011,"Smogen, Sweden",1911,2017,107,1.0008,-1.75,0.23,-0.57,0.08,58.3667,11.2167
050-032,"Goteborg, Sweden",1887,2011,43,0.9913,-1.19,0.35,-0.39,0.12,57.6833,11.8
050-051,"Klagshamn, Sweden",1929,2017,89,1.0,0.49,0.38,0.16,0.12,55.5167,12.9
050-081,"Kungholmsfort, Sweden",1887,2017,131,1.0,0.06,0.23,0.02,0.08,56.1,15.5833
050-091,"Olands Norra Udde, Sweden",1887,2017,131,1.0006,-1.07,0.27,-0.35,0.09,57.3661,17.0972
050-096,"Visby, Sweden",1916,2017,102,0.9967,-1.09,0.4,-0.36,0.13,57.6392,18.2844
050-123,"Landsort Norra & Landsort, Sweden",1887,2010,124,1.0,-2.84,0.31,-0.93,0.1,58.7667,17.8667
050-141,"Stockholm, Sweden",1889,2017,129,1.0006,-3.74,0.3,-1.23,0.1,59.3167,18.0833
050-191,"Ratan, Sweden",1892,2017,126,0.9987,-7.7,0.36,-2.53,0.12,64.0,20.9167
050-201,"Furuogrund, Sweden",1916,2017,102,0.9967,-7.91,0.52,-2.59,0.17,64.9167,21.2333
060-001,"Kemi, Finland",1920,2016,97,0.9665,-6.83,0.57,-2.24,0.19,65.6667,24.5167
060-011,"Oulu/Uleaborg, Finland",1889,2016,128,0.9564,-6.33,0.38,-2.08,0.12,65.0333,25.4167
060-021,"Raahe/Brahestad, Finland",1922,2016,95,0.9347,-6.74,0.59,-2.21,0.19,64.6667,24.4
060-041,"Pietarsaari/Jakobstad, Finland",1914,2016,103,0.9837,-7.14,0.52,-2.34,0.17,63.7,22.7
060-051,"Vaasa/Vasa, Finland",1883,2016,134,0.9531,-7.25,0.32,-2.38,0.1,63.0833,21.5667
060-071,"Kaskinen/Kasko, Finland",1926,2016,91,0.9797,-6.37,0.6,-2.09,0.2,62.35,21.2167
060-101,"Mantyluoto, Finland",1910,2016,107,0.9859,-5.79,0.45,-1.9,0.15,61.6,21.4667
060-241,"Turku/Abo, Finland",1922,2016,95,0.9824,-3.58,0.55,-1.18,0.18,60.4333,22.1
060-281,"Foglo/Degerby, Finland",1923,2016,94,0.957,-3.71,0.53,-1.22,0.17,60.0333,20.3833
060-331,"Hanko/Hango, Finland",1887,2016,130,0.8909,-2.6,0.34,-0.85,0.11,60.1,23.55
060-351,"Helsinki, Finland",1879,2016,138,0.9994,-2.26,0.31,-0.74,0.1,60.15,24.9667
060-361,"Hamina, Finland",1928,2016,89,0.9877,-0.94,0.69,-0.31,0.23,60.5667,27.1833
080-181,"Pionersky, Russia",1926,1986,61,0.8648,1.84,0.89,0.6,0.29,54.95,20.2167
083-081,"Daugavgriva, Latvia",1875,1938,64,0.9254,0.16,0.99,0.05,0.32,57.05,24.0333
083-151,"Liepaja, Latvia",1865,1936,72,0.875,0.88,0.72,0.29,0.24,56.5333,20.9833
084-161,"Klaipeda, Lithuania",1898,2011,114,0.92,1.48,0.4,0.49,0.13,55.7,21.1333
110-022,"Gdansk/Nowy Port, Poland",1951,1999,49,1.0,2.91,1.24,0.96,0.41,54.4,18.6833
110-047,"Wladyslawowo, Poland",1951,1999,49,1.0,2.46,1.27,0.81,0.42,54.8,18.4167
110-057,"Ustka, Poland",1951,1999,49,1.0,1.71,1.17,0.56,0.38,54.5833,16.8667
110-072,"Kolobrzeg, Poland",1951,1999,49,1.0,1.27,1.08,0.42,0.36,54.1833,15.55
110-092,"Swinoujscie, Poland",1811,1999,189,0.9647,0.8,0.12,0.26,0.04,53.9167,14.2333
120-012,"Warnemunde, Germany",1855,2016,162,0.9995,1.25,0.11,0.41,0.03,54.1833,12.0833
120-022,"Wismar, Germany",1848,2016,169,0.9995,1.42,0.09,0.47,0.03,53.9,11.4667
125-001,"Travemunde, Germany",1856,2016,161,0.9508,1.64,0.09,0.54,0.03,53.9581,10.8722
130-001,"Gedser, Denmark",1892,2012,121,0.9938,1.18,0.16,0.39,0.05,54.5667,11.9333
130-021,"Kobenhavn, Denmark",1889,2012,124,0.9832,0.54,0.2,0.18,0.06,55.6833,12.6
130-031,"Hornbaek, Denmark",1891,2012,122,0.9843,0.39,0.19,0.13,0.06,56.1,12.4667
