StnID,Lattitude,Longitude,Elev,State/Prov,Name,WMO_ID,Sample_Int,UTC_Offset,POR_Date_R,PCT_POR_Go,Last_Half_,PCT_Last_H,Last_Qtr_P,PCT_Last_Q
USC00012172,30.250499999999999,-88.077500000000001,2.400000000000000,AL,DAUPHIN ISLAND #2,,"15","-6",19750801-20191002,91.80%,19970831-20191002,88.50%,20080915-20191002,89.10%
USC00040321,35.184399999999997,-120.397999999999996,282.500000000000000,CA,ARROYO GRANDE 11 ENE,,"15","-8",19940107-20191022,88.40%,20061129-20191022,91.70%,20130511-20191022,98.90%
USC00040322,36.235500000000002,-121.480000000000004,286.500000000000000,CA,ARROYO SECO,,"15","-8",19481201-20180430,88.10%,19830816-20180430,82.10%,20001222-20180430,91.80%
USC00040790,36.247199999999999,-121.780199999999994,61.000000000000000,CA,BIG SUR STATION,,"15","-8",19961202-20190910,81.00%,20080421-20190910,90.20%,20131230-20190910,89.20%
USC00041005,37.142200000000003,-122.196299999999994,662.899999999999977,CA,BOULDER CR LOCAT RCH,,"15","-8",19480701-20190917,94.30%,19840208-20190917,91.90%,20011127-20190917,92.00%
USC00041142,35.798900000000003,-121.093900000000005,281.899999999999977,CA,BRYSON,,"15","-8",19480701-20190529,92.30%,19831214-20190529,87.10%,20010905-20190529,91.10%
USC00041194,34.186599999999999,-118.347999999999999,199.599999999999994,CA,BURBANK VALLEY PUMP PLANT,,"15","-8",19480701-20190930,92.90%,19840214-20190930,87.10%,20011207-20190930,87.80%
USC00042048,36.989699999999999,-121.805000000000007,82.299999999999997,CA,CORRALITOS,,"15","-8",19580415-20191001,75.60%,19890106-20191001,82.00%,20040519-20191001,77.50%
USC00042239,32.989699999999999,-116.587199999999996,1414.299999999999955,CA,CUYAMACA,,"15","-8",19670822-20190531,81.30%,19930711-20190531,66.30%,20060620-20190531,59.80%
USC00042749,41.988000000000000,-123.718299999999999,520.600000000000023,CA,ELK VALLEY,,"15","-8",19710501-20181031,79.70%,19950130-20181031,73.60%,20061215-20181031,67.00%
USC00042935,38.287999999999997,-122.034400000000005,33.500000000000000,CA,FAIRFIELD 3 NNE,,"15","-8",19720201-20190930,91.60%,19951201-20190930,92.60%,20071031-20190930,94.80%
USC00043161,39.509099999999997,-123.756600000000006,37.500000000000000,CA,FORT BRAGG 5 N,,"15","-8",19480701-20190831,80.90%,19840130-20190831,70.90%,20011114-20190831,66.10%
USC00043357,41.845199999999998,-123.964699999999993,118.000000000000000,CA,GASQUET RS,,"15","-8",19710301-20190930,82.40%,19950615-20190930,81.90%,20070807-20190930,84.10%
USC00043402,34.522500000000001,-119.682199999999995,474.899999999999977,CA,GIBRALTAR DAM NO. 2,,"15","-8",19700501-20190930,95.00%,19950114-20190930,94.50%,20070523-20190930,94.30%
USC00043417,37.003000000000000,-121.560800000000000,59.100000000000001,CA,GILROY,,"15","-8",20190401-20190909,84.00%,20190620-20190909,93.90%,20190730-20190909,88.10%
USC00043419,37.032699999999998,-121.431600000000003,320.000000000000000,CA,GILROY 8 NE,,"15","-8",19480701-20190930,92.00%,19840214-20190930,86.40%,20011207-20190930,91.90%
USC00043647,40.486300000000000,-123.908799999999999,125.900000000000006,CA,GRIZZLY CREEK STATE PARK,,"15","-8",19950702-20121027,66.10%,20040228-20121027,67.70%,20080628-20121027,78.80%
USC00044025,36.848300000000002,-121.421300000000002,83.799999999999997,CA,HOLLISTER 2,,"15","-8",19480701-20191001,85.60%,19840215-20191001,76.10%,20011208-20191001,91.50%
USC00044074,40.237499999999997,-124.132199999999997,113.700000000000003,CA,HONEYDEW 1 SW,,"15","-8",19710701-20191006,66.30%,19950818-20191006,65.80%,20070911-20191006,78.80%
USC00044587,40.642200000000003,-123.914900000000003,744.600000000000023,CA,KNEELAND 10 SSE,,"15","-8",19540617-20190901,84.70%,19870123-20190901,78.00%,20030513-20190901,84.10%
USC00044883,39.874400000000001,-123.720500000000001,214.300000000000011,CA,LEGGETT,,"15","-8",19720801-20190811,59.90%,19960205-20190811,63.10%,20071108-20190811,69.00%
USC00045184,35.878000000000000,-121.449700000000007,108.200000000000003,CA,LUCIA WILLOW SPRINGS,,"15","-8",19480701-20190910,88.90%,19840204-20190910,79.30%,20011122-20190910,77.70%
USC00045711,40.181600000000003,-123.776100000000000,81.099999999999994,CA,MIRANDA 4 SE,,"15","-8",19650101-20190828,84.50%,19920430-20190828,79.00%,20051228-20190828,76.00%
USC00045802,36.592700000000001,-121.855500000000006,37.200000000000003,CA,MONTEREY WFO,,"15","-8",19950701-20190202,96.90%,20070417-20190202,99.00%,20130310-20190202,99.50%
USC00045853,37.136299999999999,-121.602500000000006,114.299999999999997,CA,MORGAN HILL,,"15","-8",19480701-20190906,88.70%,19840202-20190906,87.10%,20011119-20190906,93.10%
USC00045996,37.902700000000003,-122.603300000000004,446.500000000000000,CA,MOUNT TAMALPAIS 2 SW,,"15","-8",19590625-20181001,84.80%,19890211-20181001,85.20%,20031207-20181001,82.40%
USC00046105,39.173900000000003,-123.564700000000002,51.200000000000003,CA,NAVARRO 1 NW,,"15","-8",19580201-20190530,83.20%,19880930-20190530,81.00%,20040129-20190530,80.50%
USC00046577,34.682499999999997,-119.352999999999994,1090.299999999999955,CA,OZENA GUARD STATION,,"15","-8",19721121-20191002,90.40%,19960427-20191002,92.30%,20080114-20191002,89.30%
USC00046730,35.627699999999997,-120.685500000000005,222.500000000000000,CA,PASO ROBLES,,"15","-8",19760913-20190930,94.10%,19980323-20190930,90.10%,20081225-20190930,98.00%
USC00046826,38.257700000000000,-122.607699999999994,6.100000000000000,CA,PETALUMA AIRPORT,,"15","-8",19640603-20190930,82.90%,19920131-20190930,79.50%,20051130-20190930,78.10%
USC00046910,34.610199999999999,-119.366600000000005,1286.299999999999955,CA,PINE MOUNTAIN INN,,"15","-8",19650120-20130430,89.40%,19890311-20130430,89.90%,20010405-20130430,83.40%
USC00047342,40.906900000000000,-123.814700000000002,269.100000000000023,CA,REDWOOD CREEK O'KANE,,"15","-8",19750214-20181028,64.00%,19961221-20181028,68.00%,20071124-20181028,76.70%
USC00047646,38.493000000000002,-122.538300000000007,542.500000000000000,CA,SAINT HELENA 4 WSW,,"15","-8",19480701-20190930,83.40%,19840214-20190930,74.90%,20011207-20190930,86.40%
USC00047851,35.305599999999998,-120.661900000000003,93.900000000000006,CA,SAN LUIS OBISPO POLY,,"15","-8",19480701-20191002,84.00%,19840215-20191002,76.90%,20011208-20191002,74.80%
USC00047902,34.416699999999999,-119.684399999999997,4.900000000000000,CA,SANTA BARBARA,,"15","-8",19480701-20191014,90.90%,19840221-20191014,88.80%,20011217-20191014,87.50%
USC00048072,38.408600000000000,-122.821100000000001,20.699999999999999,CA,SEBASTOPOL,,"15","-8",19480701-20190930,92.40%,19840214-20190930,91.60%,20011207-20190930,93.70%
USC00048261,34.283799999999999,-118.811899999999994,201.199999999999989,CA,SIMI SANITATION PLANT,,"15","-8",19751031-20131106,89.60%,19941103-20131106,90.30%,20040505-20131106,91.50%
USC00048680,36.897500000000001,-121.834699999999998,24.399999999999999,CA,SUNSET STATE BEACH,,"15","-8",19561120-20190930,91.60%,19880425-20190930,93.90%,20040112-20190930,97.00%
USC00048885,38.803800000000003,-122.812700000000007,530.399999999999977,CA,THE GEYSERS,,"15","-8",19480701-20191006,89.10%,19840217-20191006,83.70%,20011211-20191006,92.50%
USC00049273,38.608600000000003,-123.018000000000001,384.000000000000000,CA,VENADO,,"15","-8",19480701-20190502,86.30%,19831201-20190502,78.30%,20010816-20190502,86.80%
USC00068330,41.693100000000001,-73.060000000000002,164.000000000000000,CT,THOMASTON DAM,,"15","-5",19610914-20170831,82.30%,19890907-20170831,74.60%,20030904-20170831,62.80%
USC00076410,39.668199999999999,-75.745699999999999,32.299999999999997,DE,NEWARK AG FARM,,"15","-5",19560801-20190902,72.10%,19880216-20190902,56.60%,20031124-20190902,67.60%
