,Latitude,Longitude,,sum paid,jan_r,feb_r,mar_r,apr_r,may_r,jun_r,jul_r,aug_r,sep_r,oct_r,nov_r,dec_r,avg_r,jan_t,feb_t,mar_t,apr_t,may_t,jun_t,jul_t,aug_t,sep_t,oct_t,nov_t,dec_t
0,-14.3,-170.7,"(-14.3, -170.7)",13443.36,9.089511754,7.315145814,7.52055993,6.178412132,5.459821429,3.18277512,5.87456446,5.815,8.325884544,6.811965812,7.096744186,8.4390681,6.759121107,58.03296112,58.85263158,60.39350703,62.67282051,64.62344913,67.0615812,70.83366419,72.3442928,71.41337607,67.73411911,62.23628205,57.52173013
1,13.3,144.7,"(13.3, 144.7)",6044.78,14.44972973,13.16502463,7.597046414,12.04976852,13.58783784,20.53818616,32.68658178,47.47551687,41.92323439,38.29499468,25.23400191,17.29612221,23.69150376,22.43833747,24.33802178,33.64007444,45.89717949,57.93904053,67.27470085,71.41215881,69.22208437,61.74876068,50.05690653,38.60858974,27.81381307
2,13.3,144.8,"(13.3, 144.8)",115903.91,85.3,0,0,0,0,0,0,0,0,0,0,0,0,22.43833747,24.33802178,33.64007444,45.89717949,57.93904053,67.27470085,71.41215881,69.22208437,61.74876068,50.05690653,38.60858974,27.81381307
3,13.4,144.6,"(13.4, 144.6)",250334.88,17.65733483,16.64849188,8.46785361,11.73425827,14.74074074,24.11351351,34.48383733,58.08673469,50.59955006,37.56085919,28.6584507,21.29378531,27.00378418,22.43833747,24.33802178,33.64007444,45.89717949,57.93904053,67.27470085,71.41215881,69.22208437,61.74876068,50.05690653,38.60858974,27.81381307
4,13.4,144.7,"(13.4, 144.7)",250334.88,17.65733483,16.64849188,8.46785361,11.73425827,14.74074074,24.11351351,34.48383733,58.08673469,50.59955006,37.56085919,28.6584507,21.29378531,27.00378418,22.43833747,24.33802178,33.64007444,45.89717949,57.93904053,67.27470085,71.41215881,69.22208437,61.74876068,50.05690653,38.60858974,27.81381307
5,13.4,144.8,"(13.4, 144.8)",1133734.01,17.65733483,16.64849188,8.46785361,11.73425827,14.74074074,24.11351351,34.48383733,58.08673469,50.59955006,37.56085919,28.6584507,21.29378531,27.00378418,22.43833747,24.33802178,33.64007444,45.89717949,57.93904053,67.27470085,71.41215881,69.22208437,61.74876068,50.05690653,38.60858974,27.81381307
6,13.5,144.7,"(13.5, 144.7)",58987.83,12.88535755,12.53461975,6.528497409,9.750554324,14.04782609,16.39445629,34.36609071,47.79848321,44.9556541,39.05102041,24.03440095,15.16304348,23.12583369,22.43833747,24.33802178,33.64007444,45.89717949,57.93904053,67.27470085,71.41215881,69.22208437,61.74876068,50.05690653,38.60858974,27.81381307
7,13.5,144.8,"(13.5, 144.8)",210259.13,12.88535755,12.53461975,6.528497409,9.750554324,14.04782609,16.39445629,34.36609071,47.79848321,44.9556541,39.05102041,24.03440095,15.16304348,23.12583369,22.43833747,24.33802178,33.64007444,45.89717949,57.93904053,67.27470085,71.41215881,69.22208437,61.74876068,50.05690653,38.60858974,27.81381307
8,13.5,144.9,"(13.5, 144.9)",56478.96,12.88535755,12.53461975,6.528497409,9.750554324,14.04782609,16.39445629,34.36609071,47.79848321,44.9556541,39.05102041,24.03440095,15.16304348,23.12583369,22.43833747,24.33802178,33.64007444,45.89717949,57.93904053,67.27470085,71.41215881,69.22208437,61.74876068,50.05690653,38.60858974,27.81381307
9,13.6,144.9,"(13.6, 144.9)",0,12.88535755,12.53461975,6.528497409,9.750554324,14.04782609,16.39445629,34.36609071,47.79848321,44.9556541,39.05102041,24.03440095,15.16304348,23.12583369,22.43833747,24.33802178,33.64007444,45.89717949,57.93904053,67.27470085,71.41215881,69.22208437,61.74876068,50.05690653,38.60858974,27.81381307
10,17.7,-64.9,"(17.7, -64.9)",17048636,6.727496917,7.097165992,9.026963658,9.929802956,11.74332172,10.88790233,11.6259542,14.48208092,21.68446026,17.16168328,22.62004662,11.8891455,12.90633536,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
11,17.7,-64.8,"(17.7, -64.8)",17048636,6.727496917,7.097165992,9.026963658,9.929802956,11.74332172,10.88790233,11.6259542,14.48208092,21.68446026,17.16168328,22.62004662,11.8891455,12.90633536,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
