Station ID, Station Name, First Year, Last Year, Year Range, % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr) , MSL Trend (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
1611400,"Nawiliwili, HI",1955,2018,64,0.9948,1.67,0.43,0.55,0.14,21.9544,-159.3561
1612340,"Honolulu, HI",1905,2018,114,1.0,1.49,0.21,0.49,0.07,21.3067,-157.867
1612480,"Mokuoloe, HI",1957,2018,62,0.827,1.45,0.53,0.47,0.17,21.4331,-157.79
1615680,"Kahului, HI",1947,2018,72,0.9525,2.18,0.41,0.71,0.13,20.895,-156.4767
1617760,"Hilo, HI",1927,2018,92,0.8379,3.08,0.3,1.01,0.1,19.7303,-155.0556
1619000,"Johnston Atoll",1947,2003,57,0.93,0.75,0.56,0.25,0.18,16.7383,-169.53
1619910,"Midway Atoll",1947,2018,72,0.9572,1.38,0.42,0.45,0.14,28.2117,-177.36
1630000,"Apra Harbor, Guam",1993,2018,26,0.9566,3.68,3.98,1.21,1.31,13.4434,144.6564
1770000,"Pago Pago, American Samoa",1948,2009,62,0.8592,2.21,0.81,0.72,0.27,-14.2767,-170.6894
1820000,"Kwajalein, Marshall Islands",1946,2018,73,0.9874,1.88,0.68,0.62,0.22,8.7317,167.7361
1890000,"Wake Island, Pacific Ocean",1950,2018,69,0.9392,2.1,0.42,0.69,0.14,19.2907,166.6176
2695540,"St. Georges, Bermuda",1932,2018,87,0.8791,2.13,0.37,0.7,0.12,32.3734,-64.7033
8410140,"Eastport, ME",1929,2018,90,0.9645,2.14,0.17,0.7,0.06,44.9033,-66.985
8411250,"Cutler, ME",1979,2010,32,0.9396,2.34,0.61,0.77,0.2,44.6417,-67.2967
8413320,"Bar Harbor, ME",1947,2018,72,0.9276,2.22,0.2,0.73,0.07,44.3922,-68.2043
8418150,"Portland, ME",1912,2018,107,1.0,1.88,0.14,0.62,0.05,43.6567,-70.2467
8419870,"Seavey Island, ME",1926,2001,76,0.74,1.76,0.3,0.58,0.1,43.08,-70.7417
8423898,"Fort Point, NH",1926,2018,93,0.7507,2.01,0.19,0.66,0.06,43.0714,-70.7106
8443970,"Boston, MA",1921,2018,98,0.9974,2.83,0.15,0.93,0.05,42.3539,-71.0503
